Ranking;Nombre;Ventas;CNAE_Original;SECTOR_NOMBRE;NIF;ventas_estimado;patentes;confianza;criterio;ano_constitucion;poblacion;numero_empleados;web_oficial;actividad_resumen;tamano_ing;complejidad_txt;cto_actual;propiedad_accionistas;private_equity_firmas;financiacion_publica_detalle;usa_inteligencia_artificial;plataforma_cloud;solvencia_txt;puntos_solv;perfil_txt;veredicto_final;conclusion_sueldo_80k;justificacion_viabilidad;score_viabilidad;provincia
16;FAGOR ARRASATE S. COOP.;204.924.282;2891;Fabricación de maquinaria para la industria metalúrgica;F20020574;204924282;17;0.93;Fuzzy Match (FAGOR ARRASATE);1957;Arrasate/Mondragón, Gipuzkoa;708 (einforma 2025);www.fagorarrasate.com;Líder mundial en diseño y fabricación de máquinas para el conformado de chapa metálica.;~80-120 técnicos;Industria 4.0, IoT y 'Smart Factory' para maquinaria pesada. Desarrollo de software para control, automatización y mantenimiento predictivo de sus instalaciones.;Iñaki Lamikiz - CIO (The Org);Miembro fundador de la Corporación MONDRAGON, es una cooperativa propiedad de sus socios trabajadores.;Ninguno;Ha recibido financiación del Banco Europeo de Inversiones (BEI) y del Fondo Europeo para Inversiones Estratégicas (FEIE) para proyectos de innovación y transformación digital.;SÍ. Invierten en la digitalización y automatización de procesos, desarrollo de algoritmos predictivos y personalización comercial, con un claro compromiso con la inteligencia artificial.;HÍBRIDA. Utilizan la plataforma Savvy Industrial Cloud para la visualización y análisis de datos de sus máquinas, pero también ofrecen soluciones 'on-premise'.;Facturación de 204.9M€ en 2023 y perteneciente a la Corporación MONDRAGON, uno de los mayores grupos industriales de Europa.;Máximo;Híbrido Hardware/Software con un fuerte enfoque en ingeniería mecánica, automatización y, cada vez más, en software e IoT para la Industria 4.0.;TIBURÓN;MUY VIABLE;🟢 MUY VIABLE (71/100 pts) - ✅ Ventas >100M€ (+30) | ✅ 708 empleados (+15) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ⚠️ Cloud híbrido (+3) | ✅ Usa IA (+8);71.0;guipúzcoa
17;ESNELAT SL;202.324.356;1054;Preparación de leche y otros productos lácteos;B20675518;202324356;0;0.0;Sin match;1999;Urnieta;186 (eInforma);www.iparlat.com;Fabricación de productos lácteos y bebidas vegetales con tecnología UHT y pasteurización.;~10-15 técnicos;Industria 4.0 con enfoque en automatización de procesos productivos y logística (almacenes automáticos). Fuerte componente de I+D en tecnología alimentaria a través de Iparlat Tecno.;No identificado públicamente;ESNELAT es parte del grupo IPARLAT. Los ganaderos de la Cooperativa Kaiku son los fundadores y accionistas mayoritarios de Iparlat. El grupo suizo Emmi posee una participación en Kaiku.;Ninguno;Hazinnova (Gobierno Vasco/SPRI) para proyectos de innovación en proteínas alternativas.;SÍ - En fase de investigación y desarrollo para nuevos productos, como el estudio de proteínas alternativas (insectos), pero no integrado en la producción masiva.;No identificado públicamente;Facturación consolidada del grupo Iparlat superior a los 400 millones de euros y constantes inversiones en la modernización de sus plantas.;Máximo;Híbrido entre ingeniería industrial (automatización, robótica) y de alimentos (I+D de producto).;TIBURÓN;VIABLE;🟢 VIABLE (65/100 pts) - ✅ Ventas >100M€ (+30) | ✅ 186 empleados (+12) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ✅ Usa IA (+8);65.0;guipúzcoa
18;AMPO S.COOP.;202.018.000;2452;Fundición de acero;F20027090;202018000;7;1.0;Exacto (Normalizado);1964;Idiazabal;~1000 (Web oficial);www.ampo.com;Fabricación de válvulas de alto valor tecnológico y componentes de fundición para el sector energético.;~30-40 técnicos;Hardware/Industrial (válvulas y fundición de alta ingeniería) con una capa de software para soluciones inteligentes (ISS) y monitorización, sugiriendo un enfoque hacia el IoT industrial.;No identificado públicamente;Cooperativa, propiedad de los trabajadores.;Ninguno;Sí, ha recibido ayudas para proyectos de I+D de programas como Hazitek del Grupo SPRI y Gobierno Vasco.;NO. No hay evidencia pública de que AMPO S.COOP. utilice IA en sus productos, aunque una empresa distinta no relacionada opera bajo el nombre de AMPO AI.;Sin datos;Facturación de 178M€ en 2022, con previsión de superar los 200M€ en 2023 y una captación de pedidos récord de 236M€. Es una empresa consolidada y líder mundial.;Máximo;Híbrido Hardware/Software con un fuerte componente de ingeniería industrial y de materiales.;TIBURÓN;VIABLE;🟢 VIABLE (65/100 pts) - ✅ Ventas >100M€ (+30) | ✅ 1000 empleados (+15) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ✅ I+D público (+5);65.0;guipúzcoa
19;BIDEGI GIPUZKOAKO AZPIEGITUREN AGENTZIA-AGENCIA GUIPUZCOANA DE INFRAESTRUCTURAS SA;189.187.597;5221;Actividades anexas al transporte terrestre;A20783023;189187597;0;0.0;Sin match;No identificado públicamente;Zarautz;21 (eInforma);www.bidegi.eus;Gestión y mantenimiento de las autopistas AP-1/AP-8 y AP-636 en Gipuzkoa.;~5-10 técnicos;Gestión de infraestructuras críticas con sistemas de peaje (incluyendo Free Flow), monitorización (CCTV) y redes de comunicaciones. La complejidad radica en la operación continua y la modernización de sistemas.;No identificado públicamente;Sociedad foral propiedad de la Diputación Foral de Gipuzkoa.;Ninguno;Financiación a través de la Diputación Foral de Gipuzkoa.;NO. No hay evidencia pública del uso de IA en sus operaciones o proyectos.;No identificado públicamente;Empresa pública dependiente de la Diputación Foral de Gipuzkoa, lo que le confiere una alta estabilidad financiera. Gestiona infraestructuras críticas con ingresos recurrentes por peajes.;Máximo;Híbrido Hardware/Software, con un fuerte componente en sistemas de control, redes y telemática para la gestión de infraestructuras viales.;TIBURÓN;POSIBLE;🟡 POSIBLE (49/100 pts) - ✅ Ventas >100M€ (+30) | ⚠️ 21 empleados (+4) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7);49.0;guipúzcoa
20;SALTO SYSTEMS SL;180.517.000;2572;Fabricación de cerraduras y herrajes;B20708517;180517000;49;1.0;Exacto (Normalizado);2000;Oiartzun;403 (eInforma);www.saltosystems.com;Diseño y fabricación de soluciones de control de acceso electrónico, hardware y software.;~70-90 técnicos;Híbrido Hardware/Software: IoT (cerraduras electrónicas), Cloud (SaaS), Mobile Apps, IA (reconocimiento facial).;No identificado públicamente;Fundadores y Firmas de Capital Riesgo (Private Equity).;Alantra, Sofina, Peninsula Capital, Florac;Sin datos;SÍ. Ofrece productos de reconocimiento facial e integra su plataforma con soluciones de IA de terceros para la gestión de accesos y visitas.;AWS;Fuerte respaldo de múltiples firmas de Capital Riesgo (Alantra, Sofina, etc.) y facturación reportada de 180.5M€.;Máximo;Híbrido Hardware/Software;TIBURÓN;MUY VIABLE;🟢 MUY VIABLE (85/100 pts) - ✅ Ventas >100M€ (+30) | ✅ 403 empleados (+15) | ✅ CTO identificado (+8) | ⚠️ Equipo IT medio (+4) | ✅ Cloud público (+5) | ✅ Usa IA (+8) | ✅ Con PE/VC (+5) | ✅ Sector tech premium (+10);85.0;guipúzcoa
21;GUREAK LANEAN SA.;168.964.938;2790;Fabricación de otro material y equipo eléctrico;A20044590;168964938;1;1.0;Exacto (Normalizado);1975;Donostia/San Sebastián;6101 (Noticias de Gipuzkoa);www.gureak.com;Grupo empresarial de economía social para la inclusión sociolaboral de personas con discapacidad.;~30-50 técnicos;Principalmente industrial (cableado, inyección de plástico, electrónica) con proyectos de I+D en automatización, robótica y digitalización adaptada (RA, Big Data).;No identificado públicamente;Atzegi (32,19%), Diputación Foral de Gipuzkoa (20,12%), Ilunion (Grupo Social ONCE) (19,88%), Fundación Kutxa (19,15%), Ayuntamiento de Donostia (4,51%) y otros.;Ninguno;HAZITEK (Gobierno Vasco), CDTI. Proyectos de I+D+i cofinanciados con fondos FEDER.;SÍ. Utilizan Big Data para el análisis y seguimiento del trabajo y aprendizaje, y para la adaptación de la tecnología a las necesidades de cada persona.;No identificado públicamente;Facturación consolidada de ~250M€ anuales. Es la segunda mayor empleadora de Gipuzkoa, con un modelo de negocio social sostenible y diversificado en sectores competitivos.;Máximo;Híbrido Hardware/Software, con foco en ingeniería industrial, de procesos, automatización y desarrollo de tecnologías de apoyo a la producción.;TIBURÓN;MUY VIABLE;🟢 MUY VIABLE (73/100 pts) - ✅ Ventas >100M€ (+30) | ✅ 6101 empleados (+15) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ✅ Usa IA (+8) | ✅ I+D público (+5);73.0;guipúzcoa
22;GKN DRIVELINE ZUMAIA SA;165.490.000;2932;Fabricación de otros componentes, piezas y accesorios para vehículos de motor;A20016382;165490000;0;0.0;Sin match;1940;Zumaia;532 (Empresite);www.gknautomotive.com;Fabricación de sistemas y componentes de transmisión para la industria de la automoción.;~80-100 técnicos;Industria 4.0, automatización, robótica, software de cálculo, diseño y simulación, y desarrollo de motores eléctricos.;No identificado públicamente;Recientemente adquirida por American Axle & Manufacturing (AAM) de Dowlais Group. Anteriormente propiedad de Melrose Industries.;Historial con Melrose Industries.;Ayudas del Grupo SPRI a través del programa BDIH Konexio.;SÍ, para optimizar el desarrollo de sistemas de propulsión eléctrica y en soluciones basadas en datos para la automatización y toma de decisiones en la producción.;HÍBRIDA;Facturación de 1654.9M€. Líder mundial en su sector y parte de una gran multinacional, lo que indica una alta capacidad financiera.;Máximo;Híbrido Hardware/Software, con un fuerte enfoque en ingeniería mecánica, eléctrica y de software para la automoción y la industria 4.0.;TIBURÓN;MUY VIABLE;🟢 MUY VIABLE (81/100 pts) - ✅ Ventas >100M€ (+30) | ✅ 532 empleados (+15) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ⚠️ Cloud híbrido (+3) | ✅ Usa IA (+8) | ✅ Con PE/VC (+5) | ⚠️ Sector industrial (+5);81.0;guipúzcoa
23;ELEKTRA SA;161.837.759;4669;Comercio al por mayor de otra maquinaria y equipo;A20677969;161837759;0;0.0;Sin match;1978;Donostia-San Sebastián;>1300 (Web Oficial);www.grupoelektra.es;Distribución de material eléctrico y soluciones para la industria, automatización de edificios y ciberseguridad.;~40-60 técnicos;Soluciones de Industria 4.0, incluyendo Big Data, IoT, ciberseguridad industrial, automatización, software IIoT y proyectos de transformación digital para la industria.;No identificado públicamente;Sin datos públicos disponibles;Ninguno;Posiblemente beneficiaria del programa Hazitek de apoyo a la I+D del Gobierno Vasco.;SÍ, ofrecen soluciones de Digital Industry que incluyen analítica de datos y podrían incorporar elementos de IA para la optimización de procesos industriales y el mantenimiento predictivo.;HÍBRIDA, ofrecen soluciones que integran datos de procesos con sistemas IT y Cloud, y software Cloud IIoT.;Empresa consolidada con más de 40 años de historia, líder en su sector en España, con una facturación significativa y en proceso de expansión mediante adquisiciones.;Máximo;Híbrido Hardware/Software, con un fuerte enfoque en ingeniería de automatización, OT (Tecnología de Operaciones) y soluciones de software para la industria.;TIBURÓN;VIABLE;🟢 VIABLE (66/100 pts) - ✅ Ventas >100M€ (+30) | ✅ 1300 empleados (+15) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ⚠️ Cloud híbrido (+3) | ✅ Usa IA (+8) | ✅ I+D público (+5) | ❌ Sector bajo salario (-10);66.0;guipúzcoa
24;DISTRIBUIDORA FARMACEUTICA DE GIPUZKOA-GIPUZKOAKO FARMAZI BANATZAILEA SA;161.329.771;4646;Comercio al por mayor de productos farmacéuticos;A75031708;161329771;0;0.0;Sin match;2010;Donostia-San Sebastián;119 (einforma);www.dfgip.es;Distribución mayorista de productos farmacéuticos a farmacias en el País Vasco y Navarra.;~10-15 técnicos;Logística avanzada con almacén automatizado que utiliza robótica e inteligencia artificial para la gestión de inventario y pedidos.;No identificado públicamente;Las farmacias clientes del grupo son los accionistas.;Ninguno;Sin datos;SÍ - Utiliza un robot con inteligencia artificial en su nuevo almacén para la gestión de mercancías.;No identificado públicamente;Facturación superior a 1.600 millones de euros y un EBITDA de más de dos millones. Empresa consolidada en su sector.;Alto;Híbrido Logística/Software;TIBURÓN;VIABLE;🟢 VIABLE (65/100 pts) - ✅ Ventas >100M€ (+30) | ✅ 119 empleados (+12) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ✅ Usa IA (+8);65.0;guipúzcoa
26;HIJOS DE JUAN DE GARAY, SA;158.727.000;2420;Fabricación de tubos, tuberías, perfiles huecos y sus accesorios, de acero;A20021507;158727000;56;1.0;Exacto (Normalizado);1956;Oñati;397 (Empresite);www.hjgaray.es;Fabricación de tubos de acero de precisión, componentes para automoción y barras de latón.;~25-35 técnicos;Industria 4.0, con proyectos de 'smart factory', gemelo digital, 'machine learning' y colaboraciones en IA para procesos no productivos.;Jatsu Intxaurbe - Director de I+D+i (SPRI);HJ GARAY CORPORACION INDUSTRIAL SA (Empresa familiar).;Ninguno;Hazitek.;SÍ. Colabora con startups en el marco de BIND 4.0 para aplicar IA en procesos no productivos, como en el área medioambiental.;Sin datos;Empresa consolidada con más de 150 años de historia, ventas reportadas superiores a 200 millones de euros y en proceso de expansión internacional.;Máximo;Híbrido Hardware/Software con enfoque en Industria 4.0.;TIBURÓN;MUY VIABLE;🟢 MUY VIABLE (78/100 pts) - ✅ Ventas >100M€ (+30) | ✅ 397 empleados (+15) | ✅ CTO identificado (+8) | ✅ Equipo IT sólido (+7) | ✅ Usa IA (+8) | ✅ I+D público (+5) | ⚠️ Sector industrial (+5);78.0;guipúzcoa
